#step,residue,       energy,           # of electrons
 198  0.000001344634 -44.531638703045 50.000000
 199  0.000001309430 -44.531802634121 50.000000
 200  0.000001275329 -44.531957619485 50.000000
 201  0.000001242310 -44.532104157577 50.000000
 202  0.000001210347 -44.532242721282 50.000000
 203  0.000001179418 -44.532373758953 50.000000
 204  0.000001149498 -44.532497695428 50.000000
 205  0.000001120563 -44.532614933035 50.000000
 206  0.000001092588 -44.532725852583 50.000000
 207  0.000001065550 -44.532830814340 50.000000
 208  0.000001039424 -44.532930158976 50.000000
 209  0.000001014185 -44.533024208497 50.000000
 210  0.000000989811 -44.533113267140 50.000000
 211  0.000000966277 -44.533197622244 50.000000
 212  0.000000943559 -44.533277545099 50.000000
 213  0.000000921633 -44.533353291749 50.000000
 214  0.000000900478 -44.533425103784 50.000000
 215  0.000000880069 -44.533493209083 50.000000
 216  0.000000860384 -44.533557822540 50.000000
 217  0.000000841400 -44.533619146750 50.000000
 218  0.000000823096 -44.533677372673 50.000000
 219  0.000000805450 -44.533732680262 50.000000
 220  0.000000788441 -44.533785239062 50.000000
 221  0.000000772047 -44.533835208789 50.000000
 222  0.000000756247 -44.533882739867 50.000000
 223  0.000000741023 -44.533927973955 50.000000
